Date,Close,High,Low,Open,Volume
1/4/2010,84.79636383,84.84125552,83.43459419,84.07806832,118944600
1/5/2010,85.02083588,85.05824942,84.43722108,84.74399618,111579900
1/6/2010,85.08073425,85.29023651,84.87123199,84.93856956,116074400
1/7/2010,85.43986511,85.54461622,84.68415582,84.92358773,131091100
1/8/2010,85.72415924,85.76157278,85.04327729,85.21536589,126402800
1/11/2010,85.84387207,86.14315756,85.47723764,86.10574973,106375700
1/12/2010,85.04329681,85.45481734,84.71407583,85.27524485,163333500
1/13/2010,85.76158905,86.00102093,84.82630739,85.26027374,161822000
1/14/2010,85.9935379,86.15066454,85.61194138,85.66431693,115718800
1/15/2010,85.02831268,85.92618065,84.69909176,85.84388113,212283100
1/19/2010,86.09079742,86.14317296,84.99090537,85.01335692,139172700
1/20/2010,85.21535492,85.63435914,84.53447306,85.50716225,216490200
1/21/2010,83.57679749,85.49973705,83.47204636,85.23785924,344859600
1/22/2010,81.71368408,83.60669317,81.62389499,83.20265083,345942400
1/25/2010,82.13272095,82.61159058,81.86336499,82.46194204,186937500
1/26/2010,81.78852844,82.65647277,81.58651007,81.81097429,211168800
1/27/2010,82.17758942,82.36464575,81.05525142,81.68375796,271863600
1/28/2010,81.23483276,82.49185168,80.74100696,82.44695999,316104000
1/29/2010,80.35192871,82.15515474,80.22473176,81.58650182,310677600
2/1/2010,81.60145569,81.60893954,80.43422596,80.92057358,187865000
2/2/2010,82.5891037,82.74623032,81.46676579,81.75109505,216327900
2/3/2010,82.17758942,82.66393702,81.93815754,82.21499726,172730700
2/4/2010,79.64107513,81.57897525,79.62610744,81.54156742,356715700
2/5/2010,79.80570984,79.9703146,78.24939991,79.73088275,493585800
2/8/2010,79.22958374,80.3070301,79.16972434,79.86557416,224166900
2/9/2010,80.22472382,80.92057363,79.5139063,80.15738057,337820500
2/10/2010,80.06757355,80.50902364,79.39416978,80.09750324,240511500
2/11/2010,80.90561676,80.99540587,79.49895495,79.96285679,223591600
2/12/2010,80.83827972,80.88317143,79.69349568,80.0526407,304622100
2/16/2010,82.11026764,82.1925729,80.673676,81.45183123,159317500
2/17/2010,82.49930573,82.61154064,82.11022545,82.50678387,168845100
2/18/2010,82.98566437,83.15775298,82.33470635,82.36463605,193708600
2/19/2010,83.15776825,83.47950539,82.57415337,82.76869356,222684900
2/22/2010,83.17272949,83.48698276,82.92581377,83.46453691,132346900
2/23/2010,82.16261292,83.20264556,81.94562691,82.94825171,207497000
2/24/2010,82.9183197,83.05300047,82.20002417,82.40952632,176350700
2/25/2010,82.80609894,82.86595834,81.51167227,81.73613645,259634700
2/26/2010,82.85845184,83.14278105,82.38707205,82.88089768,173589300
3/1/2010,83.71894073,83.80124599,83.18021753,83.20266337,147709700
3/2/2010,83.95087433,84.35491667,83.80123156,84.07807696,160992400
3/3/2010,84.02570343,84.52701301,83.81619555,84.16786236,150785000
3/4/2010,84.28009796,84.39981675,83.82368007,84.13793333,135770400
3/5/2010,85.48473358,85.55207111,84.62427341,84.82629743,176118800
3/8/2010,85.4997406,85.68679701,85.35009776,85.49226245,114631200
3/9/2010,85.64185333,86.03841176,85.20040322,85.2452949,154556700
3/10/2010,86.02346039,86.2554084,85.60445606,85.67927745,186088800
3/11/2010,86.38258362,86.40503517,85.55953717,85.82141481,160791100
3/12/2010,86.3901062,86.77170276,86.1506743,86.75673506,162074800
3/15/2010,86.41251373,86.47237311,85.74659386,86.24042516,146816800
3/16/2010,87.10089874,87.18319826,86.41252722,86.65195905,168673000
3/17/2010,87.6171875,87.90151679,87.10839403,87.36279362,177468100
3/18/2010,87.57229614,87.74438478,87.22062931,87.62467169,196509100
3/19/2010,87.12902832,88.12075281,86.79093691,87.12902832,226641100
3/22/2010,87.59482574,87.75260516,86.58056307,86.6331543,184477800
3/23/2010,88.21089172,88.28602122,87.43704128,87.72254139,182941600
3/24/2010,87.7826767,88.22595065,86.83603433,87.88035024,196072600
3/25/2010,87.63990784,88.78189124,87.53472538,88.37618503,223396300
3/26/2010,87.58731079,88.21840548,87.2417105,87.80519036,205808500
3/29/2010,88.14329529,88.301069,87.66997417,88.03059815,134513500
3/30/2010,88.20339966,88.52646174,87.83526101,88.24847622,145772500
3/31/2010,87.90287781,88.29355474,87.60986867,87.86531018,161078700
4/1/2010,88.50392151,88.84200719,87.97800344,88.50392151,161215200
4/5/2010,89.22518158,89.28528176,88.594081,88.84201357,105847600
4/6/2010,89.4355545,89.59332823,88.87207445,88.96974226,110384200
4/7/2010,88.92464447,89.67595103,88.51142357,89.25522119,184576300
4/8/2010,89.23267365,89.38293839,88.35364638,88.61660252,158704000
4/9/2010,89.81871033,89.85627222,89.25523035,89.420513,133006500
4/12/2010,89.96146393,90.19437291,89.82622849,89.93141097,110279000
4/13/2010,90.02906036,90.18683404,89.40547459,89.87128668,125043600
4/14/2010,91.05084229,91.05084229,90.21689156,90.35963591,161609000
4/15/2010,91.12599182,91.33635678,90.87054456,90.90059751,144615300
4/16/2010,89.67595673,91.1259787,89.21765924,90.80291663,366786700
4/19/2010,90.01405334,90.10421221,89.00730512,89.41301143,217947800
4/20/2010,90.81793976,90.893075,90.05912422,90.57752188,157708000
4/21/2010,90.6526413,91.08088575,90.14926161,90.87051513,192910100
