timestamp_utc,participant_id,group,scenario_id,trial_index,condition,signal_shown,confidence_shown,decision,confidence_rating,response_time_seconds,actual_outcome,actual_decision,model_correct,decision_correct,model_recommended_decision,agrees_with_model
2026-08-09 19:22:31.630191,08,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,2,43.5,down,sell,False,False,buy,False
2026-08-09 19:23:13.866825,08,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,sell,2,41.775,up,buy,False,False,sell,True
2026-08-09 19:24:13.990623,08,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,buy,2,59.683,up,buy,False,True,hold,False
2026-08-09 19:26:03.410732,08,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,hold,2,108.879,flat,hold,False,True,sell,False
2026-08-09 20:14:59.859882,18,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,buy,4,78.99,down,sell,False,False,buy,True
2026-08-09 20:17:13.785648,18,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,sell,3,133.464,up,buy,False,False,sell,True
2026-08-09 20:17:26.941689,18,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,12.749,up,buy,False,False,hold,True
2026-08-09 20:17:39.226135,18,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,sell,3,11.872,flat,hold,False,False,sell,True
2026-08-09 20:17:47.891838,18,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,3,8.245,up,buy,False,False,hold,True
2026-08-09 20:18:08.776042,18,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,sell,3,20.474,down,sell,True,True,sell,True
2026-08-09 20:18:18.285395,18,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,sell,3,9.124,down,sell,False,True,buy,False
2026-08-09 20:18:30.726875,18,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,sell,3,12.006,up,buy,False,False,sell,True
