timestamp_utc,participant_id,group,scenario_id,trial_index,condition,signal_shown,confidence_shown,decision,confidence_rating,response_time_seconds,group_sess,session_status,is_complete,aligned,confidence_rating_norm,calibration_error,log_rt
2026-08-09 20:18:30.726875,18,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,sell,3,12.006,group_2,completed,True,1,0.6666666666666666,0.24256666666666665,2.4854065248296515
2026-08-09 20:18:38.486629,18,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,hold,3,7.321,group_2,completed,True,1,0.6666666666666666,0.21393333333333342,1.9907469306645056
2026-08-09 20:18:47.274593,18,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,sell,3,8.355,group_2,completed,True,1,0.6666666666666666,0.058766666666666634,2.122860162047357
2026-08-09 20:18:52.500990,18,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,buy,3,4.815,group_2,completed,True,1,0.6666666666666666,0.15133333333333332,1.571736045250089
2026-08-09 20:19:00.881432,18,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,sell,3,7.831,group_2,completed,True,0,0.6666666666666666,0.2333666666666666,2.0580902157688006
2026-08-09 20:19:07.567626,18,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,buy,3,6.312,group_2,completed,True,1,0.6666666666666666,0.09486666666666665,1.8424525835435732
2026-08-09 20:19:17.779717,18,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,hold,3,9.814,group_2,completed,True,1,0.6666666666666666,0.3143666666666666,2.2838099376677117
2026-08-09 20:19:28.654379,18,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,hold,2,10.393,group_2,completed,True,1,0.3333333333333333,0.5548666666666666,2.3411325026062846
2026-08-09 20:19:39.339198,18,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,hold,3,10.284,group_2,completed,True,1,0.6666666666666666,0.14403333333333335,2.330589289403643
2026-08-09 20:19:54.894057,18,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,hold,3,15.137,group_2,completed,True,0,0.6666666666666666,0.20736666666666664,2.7171420777804283
2026-08-09 20:19:59.417337,18,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,hold,3,4.125,group_2,completed,True,1,0.6666666666666666,0.11893333333333334,1.4170660197866443
2026-08-09 20:20:04.339406,18,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,sell,3,4.503,group_2,completed,True,0,0.6666666666666666,0.28256666666666663,1.5047438413194347
2026-08-09 20:20:11.613079,18,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,sell,3,6.852,group_2,completed,True,0,0.6666666666666666,0.28696666666666665,1.9245405804618736
2026-08-10 07:12:57.575084,35,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,4,95.537,group_2,completed,True,0,1.0,0.0968,4.559513607008271
2026-08-10 07:14:39.822745,35,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,sell,3,101.865,group_2,completed,True,1,0.6666666666666666,0.21596666666666664,4.623648407233865
2026-08-10 07:14:45.730102,35,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,5.43,group_2,completed,True,1,0.6666666666666666,0.2550666666666666,1.691939133945844
2026-08-10 07:14:49.818870,35,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,buy,2,3.639,group_2,completed,True,0,0.3333333333333333,0.27086666666666664,1.2917089186300228
2026-08-10 07:14:55.041841,35,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,1,4.822,group_2,completed,True,1,0.0,0.4042,1.5731887797589794
2026-08-10 07:15:08.022149,35,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,sell,5,4.083,group_2,completed,True,1,1.3333333333333333,0.6325333333333333,1.4068320123374387
2026-08-10 07:15:12.077235,35,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,buy,4,3.495,group_2,completed,True,1,1.0,0.6471,1.2513333756857736
2026-08-10 07:15:14.146183,35,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,buy,3,1.752,group_2,completed,True,0,0.6666666666666666,0.24256666666666665,0.5607579925141997
2026-08-10 07:15:18.896220,35,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,sell,2,4.12,group_2,completed,True,0,0.3333333333333333,0.5472666666666668,1.415853163361435
2026-08-10 07:15:22.229589,35,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,hold,4,2.326,group_2,completed,True,0,1.0,0.3921,0.8441500540964727
