fold_id,cadence,window_type,model,train_start,train_end,n_train_days,n_train_rows,test_start,test_end,n_test_days,n_test_rows,accuracy,f1_macro,log_loss
39,weekly,expanding,xgboost,2022-08-01,2023-06-08,215,14405,2023-06-09,2023-06-15,5,335,0.2208955223880597,0.1756553985542799,1.5951745778986464
40,weekly,expanding,xgboost,2022-08-01,2023-06-15,220,14740,2023-06-16,2023-06-23,5,335,0.5761194029850746,0.3301765464256584,0.9882593509697544
41,weekly,expanding,xgboost,2022-08-01,2023-06-23,225,15075,2023-06-26,2023-06-30,5,335,0.6059701492537314,0.2515489467162329,1.0052139868171786
42,weekly,expanding,xgboost,2022-08-01,2023-06-30,230,15410,2023-07-05,2023-07-11,5,335,0.6567164179104478,0.2642642642642642,0.8309199045566493
43,weekly,expanding,xgboost,2022-08-01,2023-07-11,235,15745,2023-07-12,2023-07-18,5,335,0.7313432835820896,0.2985242362404992,0.7519376252352614
44,weekly,expanding,xgboost,2022-08-01,2023-07-18,240,16080,2023-07-19,2023-07-25,5,335,0.6358208955223881,0.3383949546825555,0.9580176671803798
45,weekly,expanding,xgboost,2022-08-01,2023-07-25,245,16415,2023-07-26,2023-08-01,5,335,0.7044776119402985,0.29434011476265,0.8075468857105941
46,weekly,expanding,xgboost,2022-08-01,2023-08-01,250,16750,2023-08-02,2023-08-08,5,335,0.5761194029850746,0.3268504912553663,0.9578730509723402
47,weekly,expanding,xgboost,2022-08-01,2023-08-08,255,17085,2023-08-09,2023-08-15,5,335,0.373134328358209,0.2753740614703181,1.158496268161587
48,weekly,expanding,xgboost,2022-08-01,2023-08-15,260,17420,2023-08-16,2023-08-22,5,335,0.4149253731343283,0.2477716331747873,1.158415516028644
49,weekly,expanding,xgboost,2022-08-01,2023-08-22,265,17755,2023-08-23,2023-08-29,5,335,0.4388059701492537,0.2941095461658842,1.094966967658573
50,weekly,expanding,xgboost,2022-08-01,2023-08-29,270,18090,2023-08-30,2023-09-06,5,335,0.6298507462686567,0.2576312576312576,0.8570177355450579
51,weekly,expanding,xgboost,2022-08-01,2023-09-06,275,18425,2023-09-07,2023-09-13,5,335,0.6985074626865672,0.2992008581389112,0.8453617742170559
52,weekly,expanding,xgboost,2022-08-01,2023-09-13,280,18760,2023-09-14,2023-09-20,5,335,0.6597014925373135,0.3215559655596556,0.8910069277289749
53,weekly,expanding,xgboost,2022-08-01,2023-09-20,285,19095,2023-09-21,2023-09-27,5,335,0.4417910447761194,0.4167760549884554,1.085286275923906
54,weekly,expanding,xgboost,2022-08-01,2023-09-27,290,19430,2023-09-28,2023-10-04,5,335,0.3283582089552239,0.2815278286193498,1.105917401165747
55,weekly,expanding,xgboost,2022-08-01,2023-10-04,295,19765,2023-10-05,2023-10-11,5,335,0.417910447761194,0.3082481108542931,1.1442902237557588
56,weekly,expanding,xgboost,2022-08-01,2023-10-11,300,20100,2023-10-12,2023-10-18,5,335,0.4746268656716418,0.3682718944623556,1.0794950032625945
57,weekly,expanding,xgboost,2022-08-01,2023-10-18,305,20435,2023-10-19,2023-10-25,5,335,0.3044776119402985,0.2817622316612705,1.110669336615144
58,weekly,expanding,xgboost,2022-08-01,2023-10-25,310,20770,2023-10-26,2023-11-01,5,335,0.3701492537313433,0.3065478923130619,1.0861558995513512
59,weekly,expanding,xgboost,2022-08-01,2023-11-01,315,21105,2023-11-02,2023-11-08,5,335,0.6358208955223881,0.2807646356033453,0.8672335733463016
60,weekly,expanding,xgboost,2022-08-01,2023-11-08,320,21440,2023-11-09,2023-11-15,5,335,0.444776119402985,0.2378478514759776,1.1564487786055826
61,weekly,expanding,xgboost,2022-08-01,2023-11-15,325,21775,2023-11-16,2023-11-22,5,335,0.7701492537313432,0.3188896245616616,0.7658816124217805
62,weekly,expanding,xgboost,2022-08-01,2023-11-22,330,22110,2023-11-27,2023-12-01,5,335,0.6567164179104478,0.3659589011834067,0.8991279675645053
63,weekly,expanding,xgboost,2022-08-01,2023-12-01,335,22445,2023-12-04,2023-12-08,5,335,0.6358208955223881,0.2688025076084777,0.8750347313449097
64,weekly,expanding,xgboost,2022-08-01,2023-12-08,340,22780,2023-12-11,2023-12-15,5,335,0.6477611940298508,0.3691509715131762,0.8707105499720805
65,weekly,expanding,xgboost,2022-08-01,2023-12-15,345,23115,2023-12-18,2023-12-22,5,335,0.6955223880597015,0.2844990008564088,0.772641687968326
66,weekly,expanding,xgboost,2022-08-01,2023-12-22,350,23450,2023-12-26,2024-01-02,5,335,0.6985074626865672,0.2839067449349373,0.7750555718019706
67,weekly,expanding,xgboost,2022-08-01,2024-01-02,355,23785,2024-01-03,2024-01-09,5,335,0.4865671641791044,0.220419202163624,1.060831928113421
68,weekly,expanding,xgboost,2022-08-01,2024-01-09,360,24120,2024-01-10,2024-01-17,5,335,0.5492537313432836,0.3038675998284321,0.982055121922492
69,weekly,expanding,xgboost,2022-08-01,2024-01-17,365,24455,2024-01-18,2024-01-24,5,335,0.4597014925373134,0.2982993197278911,1.2178766865079151
70,weekly,expanding,xgboost,2022-08-01,2024-01-24,370,24790,2024-01-25,2024-01-31,5,335,0.6865671641791045,0.3446984273583211,0.8926433479908192
71,weekly,expanding,xgboost,2022-08-01,2024-01-31,375,25125,2024-02-01,2024-02-07,5,335,0.5134328358208955,0.2297929191716766,1.0158977440011845
72,weekly,expanding,xgboost,2022-08-01,2024-02-07,380,25460,2024-02-08,2024-02-14,5,335,0.4656716417910447,0.2968341229152199,1.0389891776346984
73,weekly,expanding,xgboost,2022-08-01,2024-02-14,385,25795,2024-02-15,2024-02-22,5,335,0.5373134328358209,0.2893836764804506,1.0295173987434527
74,weekly,expanding,xgboost,2022-08-01,2024-02-22,390,26130,2024-02-23,2024-02-29,5,335,0.7283582089552239,0.3238738396944634,0.8202390295887423
75,weekly,expanding,xgboost,2022-08-01,2024-02-29,395,26465,2024-03-01,2024-03-07,5,335,0.573134328358209,0.2685139524871824,0.988927921050954
76,weekly,expanding,xgboost,2022-08-01,2024-03-07,400,26800,2024-03-08,2024-03-14,5,335,0.5313432835820896,0.2313190383365821,1.0050765813651996
77,weekly,expanding,xgboost,2022-08-01,2024-03-14,405,27135,2024-03-15,2024-03-21,5,335,0.6626865671641791,0.2825013419216318,0.8872136370882105
78,weekly,expanding,xgboost,2022-08-01,2024-03-21,410,27470,2024-03-22,2024-03-28,5,335,0.8746268656716418,0.31104033970276,0.4659921984201604
79,weekly,expanding,xgboost,2022-08-01,2024-03-28,415,27805,2024-04-01,2024-04-05,5,335,0.573134328358209,0.2971593731653344,0.8974568957107665
80,weekly,expanding,xgboost,2022-08-01,2024-04-05,420,28140,2024-04-08,2024-04-12,5,335,0.435820895522388,0.3217120800245439,1.088273488320007
81,weekly,expanding,xgboost,2022-08-01,2024-04-12,425,28475,2024-04-15,2024-04-19,5,335,0.3462686567164179,0.3336405135397668,1.102015302807848
82,weekly,expanding,xgboost,2022-08-01,2024-04-19,430,28810,2024-04-22,2024-04-26,5,335,0.4059701492537313,0.2703252789860649,1.096536920067828
83,weekly,expanding,xgboost,2022-08-01,2024-04-26,435,29145,2024-04-29,2024-05-03,5,335,0.5373134328358209,0.313953247555689,1.0062059325406998
84,weekly,expanding,xgboost,2022-08-01,2024-05-03,440,29480,2024-05-06,2024-05-10,5,335,0.826865671641791,0.3017429193899782,0.5285082054983582
85,weekly,expanding,xgboost,2022-08-01,2024-05-10,445,29815,2024-05-13,2024-05-17,5,335,0.7611940298507462,0.2920962199312715,0.7954441214173144
86,weekly,expanding,xgboost,2022-08-01,2024-05-17,450,30150,2024-05-20,2024-05-24,5,335,0.6985074626865672,0.3440287240386201,0.7264907938979533
87,weekly,expanding,xgboost,2022-08-01,2024-05-24,455,30485,2024-05-28,2024-06-03,5,335,0.5223880597014925,0.2385255359203255,0.9715477124142192
88,weekly,expanding,xgboost,2022-08-01,2024-06-03,460,30820,2024-06-04,2024-06-10,5,335,0.5074626865671642,0.3002792666229857,1.1350204593226996
89,weekly,expanding,xgboost,2022-08-01,2024-06-10,465,31155,2024-06-11,2024-06-17,5,335,0.6507462686567164,0.2909287370862323,0.9528180587586949
90,weekly,expanding,xgboost,2022-08-01,2024-06-17,470,31490,2024-06-18,2024-06-25,5,335,0.6805970149253732,0.3894786630229136,0.9474616367456736
91,weekly,expanding,xgboost,2022-08-01,2024-06-25,475,31825,2024-06-26,2024-07-02,5,335,0.6358208955223881,0.2591240875912409,0.9663296238941084
92,weekly,expanding,xgboost,2022-08-01,2024-07-02,480,32160,2024-07-03,2024-07-10,5,334,0.8473053892215568,0.3057806591031874,0.6060347386308775
93,weekly,expanding,xgboost,2022-08-01,2024-07-10,485,32494,2024-07-11,2024-07-17,5,335,0.5223880597014925,0.2287581699346405,1.0866493642637725
94,weekly,expanding,xgboost,2022-08-01,2024-07-17,490,32829,2024-07-18,2024-07-24,5,335,0.426865671641791,0.2286039886039886,1.054041972788355
95,weekly,expanding,xgboost,2022-08-01,2024-07-24,495,33164,2024-07-25,2024-07-31,5,335,0.4059701492537313,0.3217264685335286,1.099422736444309
96,weekly,expanding,xgboost,2022-08-01,2024-07-31,500,33499,2024-08-01,2024-08-07,5,335,0.2567164179104477,0.2531387003288539,1.1579986065450505
97,weekly,expanding,xgboost,2022-08-01,2024-08-07,505,33834,2024-08-08,2024-08-14,5,335,0.2955223880597015,0.242648600431541,1.123180645378858
98,weekly,expanding,xgboost,2022-08-01,2024-08-14,510,34169,2024-08-15,2024-08-21,5,335,0.6597014925373135,0.394281045751634,0.8883729109914132
99,weekly,expanding,xgboost,2022-08-01,2024-08-21,515,34504,2024-08-22,2024-08-28,5,335,0.4567164179104477,0.321946963195069,1.0967933625684836
100,weekly,expanding,xgboost,2022-08-01,2024-08-28,520,34839,2024-08-29,2024-09-05,5,335,0.435820895522388,0.3796690540044869,1.0985281728522414
101,weekly,expanding,xgboost,2022-08-01,2024-09-05,525,35174,2024-09-06,2024-09-12,5,335,0.3343283582089552,0.3196070929608809,1.1807060244574952
102,weekly,expanding,xgboost,2022-08-01,2024-09-12,530,35509,2024-09-13,2024-09-19,5,335,0.4388059701492537,0.3066537311019484,1.0369848115891962
103,weekly,expanding,xgboost,2022-08-01,2024-09-19,535,35844,2024-09-20,2024-09-26,5,335,0.6388059701492538,0.3238456672991777,0.8962138648647964
104,weekly,expanding,xgboost,2022-08-01,2024-09-26,540,36179,2024-09-27,2024-10-03,5,335,0.5343283582089552,0.2453786778318949,0.928683628926293
105,weekly,expanding,xgboost,2022-08-01,2024-10-03,545,36514,2024-10-04,2024-10-10,5,335,0.6059701492537314,0.2996451748413292,0.9752831068391736
106,weekly,expanding,xgboost,2022-08-01,2024-10-10,550,36849,2024-10-11,2024-10-17,5,335,0.7074626865671642,0.2762237762237762,0.8035308930451512
107,weekly,expanding,xgboost,2022-08-01,2024-10-17,555,37184,2024-10-18,2024-10-24,5,335,0.6507462686567164,0.2628089210367691,0.8973664055055978
108,weekly,expanding,xgboost,2022-08-01,2024-10-24,560,37519,2024-10-25,2024-10-31,5,335,0.6805970149253732,0.3129668534080299,0.8717923816072413
109,weekly,expanding,xgboost,2022-08-01,2024-10-31,565,37854,2024-11-01,2024-11-07,5,335,0.6268656716417911,0.2860448055978782,0.9893020884220912
110,weekly,expanding,xgboost,2022-08-01,2024-11-07,570,38189,2024-11-08,2024-11-14,5,335,0.6447761194029851,0.2613430127041742,0.8795955351369379
111,weekly,expanding,xgboost,2022-08-01,2024-11-14,575,38524,2024-11-15,2024-11-21,5,335,0.5970149253731343,0.4255353950321427,0.9562766533008304
112,weekly,expanding,xgboost,2022-08-01,2024-11-21,580,38859,2024-11-22,2024-11-29,5,334,0.7664670658682635,0.289756649688738,0.7731031285995293
113,weekly,expanding,xgboost,2022-08-01,2024-11-29,585,39193,2024-12-02,2024-12-06,5,335,0.8895522388059701,0.3138493944181148,0.5145299191460158
114,weekly,expanding,xgboost,2022-08-01,2024-12-06,590,39528,2024-12-09,2024-12-13,5,335,0.764179104477612,0.2887760857304004,0.7061100169532784
115,weekly,expanding,xgboost,2022-08-01,2024-12-13,595,39863,2024-12-16,2024-12-20,5,335,0.608955223880597,0.4361643034066131,0.8519769740407216
116,weekly,expanding,xgboost,2022-08-01,2024-12-20,600,40198,2024-12-23,2024-12-31,5,335,0.4567164179104477,0.3672788833916338,1.0804524692503583
117,weekly,expanding,xgboost,2022-08-01,2024-12-31,605,40533,2025-01-02,2025-01-08,5,335,0.4417910447761194,0.4041663663952213,1.1326389169976785
118,weekly,expanding,xgboost,2022-08-01,2025-01-08,610,40868,2025-01-10,2025-01-16,5,335,0.4059701492537313,0.3094872429529827,1.1167891048292955
119,weekly,expanding,xgboost,2022-08-01,2025-01-16,615,41203,2025-01-17,2025-01-24,5,335,0.7373134328358208,0.2829324169530355,0.7296345679897496
120,weekly,expanding,xgboost,2022-08-01,2025-01-24,620,41538,2025-01-27,2025-01-31,5,335,0.4955223880597015,0.3198669182600249,1.0628781642156155
121,weekly,expanding,xgboost,2022-08-01,2025-01-31,625,41873,2025-02-03,2025-02-07,5,335,0.5671641791044776,0.3615393664027291,0.903675960319738
122,weekly,expanding,xgboost,2022-08-01,2025-02-07,630,42208,2025-02-10,2025-02-14,5,335,0.6388059701492538,0.2709414715835261,0.8043893294244434
123,weekly,expanding,xgboost,2022-08-01,2025-02-14,635,42543,2025-02-18,2025-02-24,5,335,0.5701492537313433,0.3472013366750208,1.0023684295674495
124,weekly,expanding,xgboost,2022-08-01,2025-02-24,640,42878,2025-02-25,2025-03-03,5,335,0.3671641791044776,0.3702675885776788,1.112831032534746
125,weekly,expanding,xgboost,2022-08-01,2025-03-03,645,43213,2025-03-04,2025-03-10,5,335,0.3104477611940298,0.2412390868842118,1.1078658656765166
126,weekly,expanding,xgboost,2022-08-01,2025-03-10,650,43548,2025-03-11,2025-03-17,5,335,0.3522388059701492,0.323581258847162,1.0894983663553124
127,weekly,expanding,xgboost,2022-08-01,2025-03-17,655,43883,2025-03-18,2025-03-24,5,335,0.4388059701492537,0.3653679653679654,1.073417134974824
128,weekly,expanding,xgboost,2022-08-01,2025-03-24,660,44218,2025-03-25,2025-03-31,5,335,0.3761194029850746,0.3245481687898089,1.1293182586612622
129,weekly,expanding,xgboost,2022-08-01,2025-03-31,665,44553,2025-04-01,2025-04-07,5,335,0.3910447761194029,0.2863862097972549,1.098969916620212
130,weekly,expanding,xgboost,2022-08-01,2025-04-07,670,44888,2025-04-08,2025-04-14,5,335,0.4149253731343283,0.2566005810426843,1.238997951015804
131,weekly,expanding,xgboost,2022-08-01,2025-04-14,675,45223,2025-04-15,2025-04-22,5,335,0.3701492537313433,0.3686879665727283,1.0891568855897034
132,weekly,expanding,xgboost,2022-08-01,2025-04-22,680,45558,2025-04-23,2025-04-29,5,335,0.2716417910447761,0.2120064279155188,1.14495819661562
133,weekly,expanding,xgboost,2022-08-01,2025-04-29,685,45893,2025-04-30,2025-05-06,5,335,0.382089552238806,0.3483197421279256,1.1081570820703872
134,weekly,expanding,xgboost,2022-08-01,2025-05-06,690,46228,2025-05-07,2025-05-13,5,335,0.4626865671641791,0.356029825794405,1.0919355394005
135,weekly,expanding,xgboost,2022-08-01,2025-05-13,695,46563,2025-05-14,2025-05-20,5,335,0.5462686567164179,0.2714120734908136,0.9419439658139336
136,weekly,expanding,xgboost,2022-08-01,2025-05-20,700,46898,2025-05-21,2025-05-28,5,335,0.4835820895522388,0.3308033399776519,0.998939701173062
137,weekly,expanding,xgboost,2022-08-01,2025-05-28,705,47233,2025-05-29,2025-06-04,5,335,0.5552238805970149,0.3563569339263533,1.0110248101329011
138,weekly,expanding,xgboost,2022-08-01,2025-06-04,710,47568,2025-06-05,2025-06-11,5,335,0.5313432835820896,0.2564814814814815,1.0251883107719175
139,weekly,expanding,xgboost,2022-08-01,2025-06-11,715,47903,2025-06-12,2025-06-18,5,335,0.6238805970149254,0.3272150072150072,0.8841227933556935
140,weekly,expanding,xgboost,2022-08-01,2025-06-18,720,48238,2025-06-20,2025-06-26,5,335,0.7134328358208956,0.3172956254508444,0.7521793750907279
141,weekly,expanding,xgboost,2022-08-01,2025-06-26,725,48573,2025-06-27,2025-07-03,5,335,0.7611940298507462,0.288135593220339,0.6673905311156851
142,weekly,expanding,xgboost,2022-08-01,2025-07-03,730,48908,2025-07-07,2025-07-11,5,335,0.7611940298507462,0.3853526508517752,0.7117842345635355
143,weekly,expanding,xgboost,2022-08-01,2025-07-11,735,49243,2025-07-14,2025-07-18,5,335,0.7014925373134329,0.2874684001444564,0.7840071710675736
144,weekly,expanding,xgboost,2022-08-01,2025-07-18,740,49578,2025-07-21,2025-07-25,5,335,0.8417910447761194,0.3047001620745543,0.5560987767263882
145,weekly,expanding,xgboost,2022-08-01,2025-07-25,745,49913,2025-07-28,2025-08-01,5,335,0.5940298507462687,0.3832412714955706,0.9796227204957176
146,weekly,expanding,xgboost,2022-08-01,2025-08-01,750,50248,2025-08-04,2025-08-08,5,335,0.5791044776119403,0.4078792511015376,0.939162585526828
147,weekly,expanding,xgboost,2022-08-01,2025-08-08,755,50583,2025-08-11,2025-08-15,5,335,0.746268656716418,0.3785508894997946,0.7261751360154773
148,weekly,expanding,xgboost,2022-08-01,2025-08-15,760,50918,2025-08-18,2025-08-22,5,335,0.6388059701492538,0.3214791472816404,0.804808911906642
149,weekly,expanding,xgboost,2022-08-01,2025-08-22,765,51253,2025-08-25,2025-08-29,5,335,0.9074626865671642,0.3171622326551904,0.409666928423861
150,weekly,expanding,xgboost,2022-08-01,2025-08-29,770,51588,2025-09-02,2025-09-08,5,335,0.5970149253731343,0.2719979004986316,0.9413045662578432
151,weekly,expanding,xgboost,2022-08-01,2025-09-08,775,51923,2025-09-09,2025-09-15,5,335,0.8626865671641791,0.3112547119009154,0.4084897842872371
152,weekly,expanding,xgboost,2022-08-01,2025-09-15,780,52258,2025-09-16,2025-09-22,5,335,0.8149253731343283,0.4144681004749264,0.6291849178290683
153,weekly,expanding,xgboost,2022-08-01,2025-09-22,785,52593,2025-09-23,2025-09-29,5,335,0.6716417910447762,0.3719876614613457,0.93706896440527
154,weekly,expanding,xgboost,2022-08-01,2025-09-29,790,52928,2025-09-30,2025-10-06,5,335,0.6746268656716418,0.2866129287181918,0.9191957239386634
155,weekly,expanding,xgboost,2022-08-01,2025-10-06,795,53263,2025-10-07,2025-10-13,5,335,0.591044776119403,0.3439677447209878,0.9050127344430466
156,weekly,expanding,xgboost,2022-08-01,2025-10-13,800,53598,2025-10-14,2025-10-20,5,335,0.4835820895522388,0.3850588953530129,1.031722048147456
157,weekly,expanding,xgboost,2022-08-01,2025-10-20,805,53933,2025-10-21,2025-10-27,5,335,0.6805970149253732,0.3794954800556464,0.7429653269596281
158,weekly,expanding,xgboost,2022-08-01,2025-10-27,810,54268,2025-10-28,2025-11-03,5,335,0.608955223880597,0.2979298690325306,0.9344080357766402
159,weekly,expanding,xgboost,2022-08-01,2025-11-03,815,54603,2025-11-04,2025-11-10,5,335,0.3641791044776119,0.2850154846155764,1.064700577140313
160,weekly,expanding,xgboost,2022-08-01,2025-11-10,820,54938,2025-11-11,2025-11-17,5,335,0.4388059701492537,0.3485875554841073,1.0489114638741357
161,weekly,expanding,xgboost,2022-08-01,2025-11-17,825,55273,2025-11-18,2025-11-24,5,335,0.4805970149253731,0.4634636053337113,1.0228877286680271
162,weekly,expanding,xgboost,2022-08-01,2025-11-24,830,55608,2025-11-25,2025-12-02,5,335,0.6835820895522388,0.3905088833111865,0.8538212987248937
163,weekly,expanding,xgboost,2022-08-01,2025-12-02,835,55943,2025-12-03,2025-12-09,5,335,0.7611940298507462,0.288135593220339,0.7092772128242655
164,weekly,expanding,xgboost,2022-08-01,2025-12-09,840,56278,2025-12-10,2025-12-16,5,335,0.5492537313432836,0.2735383213552406,1.0039994916638708
165,weekly,expanding,xgboost,2022-08-01,2025-12-16,845,56613,2025-12-17,2025-12-23,5,335,0.764179104477612,0.4629233652754679,0.6758473422708854
166,weekly,expanding,xgboost,2022-08-01,2025-12-23,850,56948,2025-12-24,2025-12-31,5,335,0.835820895522388,0.3035230352303523,0.5796257347664837
167,weekly,expanding,xgboost,2022-08-01,2025-12-31,855,57283,2026-01-02,2026-01-08,5,335,0.7134328358208956,0.2775842044134727,0.8138848019726136
168,weekly,expanding,xgboost,2022-08-01,2026-01-08,860,57618,2026-01-09,2026-01-15,5,335,0.7044776119402985,0.2755399883245767,0.7730723153115814
169,weekly,expanding,xgboost,2022-08-01,2026-01-15,865,57953,2026-01-16,2026-01-23,5,335,0.5492537313432836,0.4125841814426441,0.9065315850069324
170,weekly,expanding,xgboost,2022-08-01,2026-01-23,870,58288,2026-01-26,2026-01-30,5,335,0.6805970149253732,0.3179487179487179,0.7152072427021303
